iter	Passed	Remaining
408	5275	7622
409	5286	7607
410	5298	7593
411	5307	7574
412	5317	7557
413	5326	7538
414	5340	7528
415	5356	7519
416	5366	7503
417	5381	7493
418	5396	7482
419	5407	7467
420	5420	7454
421	5431	7439
422	5440	7420
423	5455	7410
424	5469	7399
425	5479	7383
426	5489	7366
427	5501	7352
428	5515	7341
429	5530	7330
430	5540	7313
431	5556	7305
432	5571	7295
433	5583	7281
434	5596	7269
435	5610	7257
436	5616	7236
437	5626	7219
438	5640	7207
439	5648	7188
440	5658	7172
441	5667	7154
442	5678	7140
443	5690	7125
444	5697	7106
445	5705	7086
446	5713	7067
447	5721	7050
448	5728	7029
449	5738	7013
450	5752	7002
451	5764	6989
452	5774	6973
453	5783	6955
454	5793	6939
455	5801	6921
456	5809	6903
457	5817	6884
458	5826	6867
459	5835	6850
460	5844	6832
461	5855	6818
462	5863	6800
463	5871	6782
464	5881	6766
465	5896	6756
466	5928	6766
467	5940	6753
468	5953	6740
469	5968	6730
470	5985	6723
471	6002	6714
472	6013	6699
473	6027	6688
474	6035	6671
475	6046	6656
476	6056	6640
477	6066	6625
478	6075	6608
479	6085	6592
480	6096	6578
481	6105	6561
482	6118	6549
483	6133	6539
484	6146	6526
485	6158	6512
486	6169	6498
487	6180	6484
488	6188	6467
489	6198	6451
490	6211	6439
491	6224	6426
492	6235	6412
493	6241	6392
494	6250	6376
495	6257	6358
496	6268	6344
497	6278	6329
498	6289	6314
499	6300	6300
500	6312	6287
501	6320	6270
502	6332	6256
503	6344	6244
504	6361	6235
505	6381	6230
506	6403	6226
507	6420	6218
508	6438	6210
509	6460	6206
510	6474	6195
511	6491	6187
512	6507	6178
513	6525	6170
514	6542	6161
515	6557	6150
516	6576	6144
517	6592	6134
518	6606	6123
519	6619	6109
520	6640	6104
521	6649	6089
522	6659	6074
523	6668	6057
524	6674	6038
525	6685	6024
526	6692	6006
527	6704	5993
528	6712	5976
529	6723	5962
530	6739	5952
531	6753	5941
532	6768	5929
533	6776	5913
534	6788	5900
535	6801	5887
536	6810	5872
537	6826	5861
538	6837	5847
539	6855	5840
540	6873	5831
541	6888	5821
542	6900	5807
543	6932	5810
544	6949	5801
545	6964	5790
546	6976	5777
547	6987	5763
548	6998	5748
549	7014	5739
550	7031	5729
551	7051	5722
552	7067	5712
553	7080	5700
554	7090	5685
555	7109	5677
556	7123	5665
557	7137	5653
558	7151	5641
559	7165	5630
560	7181	5619
561	7198	5609
562	7217	5602
563	7235	5593
564	7251	5582
565	7266	5572
566	7280	5559
567	7293	5547
568	7303	5531
569	7315	5518
570	7326	5504
571	7333	5487
572	7346	5474
573	7362	5463
574	7380	5455
575	7401	5448
576	7419	5438
577	7434	5428
578	7453	5419
579	7467	5407
580	7477	5392
581	7493	5381
582	7503	5366
583	7512	5351
584	7525	5338
585	7535	5323
586	7544	5307
587	7554	5293
588	7564	5278
589	7575	5264
590	7592	5254
591	7606	5242
592	7617	5228
593	7628	5214
594	7640	5200
595	7652	5187
596	7661	5171
597	7672	5157
598	7682	5143
599	7691	5127
600	7701	5113
601	7711	5098
602	7720	5083
603	7730	5068
604	7739	5052
605	7746	5036
606	7755	5020
607	7765	5006
608	7774	4991
609	7782	4975
610	7789	4959
611	7799	4944
612	7813	4932
613	7821	4917
614	7830	4901
615	7839	4886
616	7847	4871
617	7857	4856
618	7867	4842
619	7876	4827
620	7884	4812
621	7894	4797
622	7903	4782
623	7936	4782
624	7959	4775
625	7973	4763
626	7984	4749
627	8003	4741
628	8020	4730
629	8036	4719
630	8050	4707
631	8065	4696
632	8078	4683
633	8091	4671
634	8101	4656
635	8111	4642
636	8119	4627
637	8127	4611
638	8139	4598
639	8148	4583
640	8158	4569
641	8168	4554
642	8177	4540
643	8189	4527
644	8199	4513
645	8212	4500
646	8224	4487
647	8237	4474
648	8246	4460
649	8257	4446
650	8266	4431
651	8275	4416
